call,discharge,Fs,Foil,Fg,pressure,Fw,yield,max_conc
125,1.0504363060109292,1.0601034038140968,0.9184784531688126,1.0971131329005823,0.9013334888663256,0.914678899230715,1828.7727135978141,17.056435988669115
126,0.9104694435954757,0.990122605020659,0.9094467399235604,1.0982824606010553,0.9005354932902314,0.9881191134536662,1614.7432524373537,14.491734843152438
127,0.9471988549022738,1.0621895430594401,1.0949978164364031,1.098827148808942,0.9007159486331442,0.9675846373019933,1714.0062906075118,15.156838061292857
128,1.0321672842585377,0.9063036763148011,0.9000194110306343,1.09805683505995,0.9047596885495899,1.0369371282314617,1517.1013656664468,14.624644838301446
129,0.911297265334038,1.0045119802372928,1.0954381331032492,1.09624598949222,0.9005178824799427,0.9095219879433719,1062.5829118052513,9.922119877238229
130,1.0014926800158022,0.9902406895790369,0.911802514404376,1.0995413762071782,1.0990825034433647,1.0509516611672327,1671.9152330611741,15.219679479874147
131,0.9749919869296176,0.9351775328534492,1.0937306772832653,0.9013898581551177,0.9014283679392642,1.086527403157719,1200.324089469147,10.951322580706721
132,0.9761964671968907,0.9118620615115127,0.904330341382818,1.0990029653094973,0.9049396279025582,0.9068527340245617,1484.3581976041037,14.498300102911358
133,0.9150543918999692,0.9977159145164483,0.9109116829911864,1.0997447345024565,1.086506036380301,0.9202135985815103,1617.1614102461488,15.005755900170664
134,1.032596476911958,0.9839026965049036,1.0996476620605808,1.095224977340894,1.0954079381986848,0.9547880513593477,1733.0457237495575,15.933246761086293
135,0.9062502301008706,1.0561835574413954,1.0923963123948548,1.0980521309521682,1.0917509331769324,0.9791345586528406,1596.6688479982242,14.165517489202042
136,0.9155988773929601,1.0844104914285633,1.0952621732633523,0.9026785370754613,1.0989945821318448,1.039494754124038,872.670104472827,9.547974419267117
137,0.9796523537228731,0.9964677903500361,1.09481472327866,1.0999986902339407,1.0947888392830072,1.0315971466479374,1722.4069692333787,15.462624343256401
138,1.0382968743803784,1.0708138319859484,1.095900685309561,1.0991849318276798,1.0973965217070418,0.9131726232910531,1684.052577804692,15.29385116094038
139,0.9957201847472383,1.0693907192095358,0.9074587020294115,1.0992916006033904,1.0914584361058637,0.9110829803704515,1764.468604727433,16.30545359447054
140,1.0098174683924364,1.0679873892520204,0.9119152266760591,1.098471379173171,1.0998184536321804,0.9482134574158676,1858.3181640374937,17.055313301665315
141,0.9626932116176903,0.9133757722672968,0.9017552797531118,1.0983617548778437,1.0950261401622186,1.027163667774107,1519.8902350217352,13.996043691660747
142,0.9751623004222296,1.0691587613639224,0.9005458408675369,1.0950403171181622,0.905048047563169,1.056358497147712,1902.768679722292,16.83814813479627
143,0.9348061216411724,1.0924861701157134,0.9000818941110006,1.0986810392708437,0.9059634889178831,1.0704952289575607,1750.3553129757752,15.461101428952011
144,1.0133631710872757,1.098262990043496,0.9755212288674936,1.097610288491591,0.9028734334867825,0.9216146330725111,1467.4164282446488,13.561729853546314
145,1.0331011318281036,1.0863564602702391,1.0948701655274329,1.0980258842778297,1.0975818865816822,1.0358150601735467,1671.4598193899728,14.946515893125715
146,0.9067176399744121,1.0213060171548147,0.9166407982267353,1.0996037605151778,1.092966295469882,0.9530404090729949,1618.6651310050502,14.85314135562812
147,1.016616553410935,1.0874221296739948,0.9017227398848433,1.097971752590054,1.0909095999335074,0.9648840542840219,1506.786111919472,13.761062566887222
148,1.023220077113452,1.0250344016686046,0.9069571800431796,1.0986551148232688,0.906073209339779,1.0190487202025411,1591.8072727105775,14.721803687989862
149,0.9541495243664979,1.0321842716992953,1.0972102477607626,1.0982734248098838,1.0929176788939186,0.9049560047028662,1480.637464343093,13.578574580360327
150,1.0085606731016639,0.9936361724422484,1.0979018154095614,1.0987548800755824,0.9016399521915323,0.946762776109253,1575.6005407723073,14.473461465003473
151,0.9188768685669586,0.9397308725760782,0.9034124459492773,1.0993201410014657,0.9040896344311564,1.058295665958691,1647.8466771520257,15.202892414644335
152,0.9955033002315616,1.0418124451733664,0.9096307423406896,0.900504266573006,0.9013047732546883,1.0589431996756595,1371.9641155931815,11.644165108526945
153,1.034440784623356,1.0776239582458336,1.0992111903636006,0.9981333652884654,0.9003903286509081,0.9059030261275607,1588.7265564185934,14.524094409910068
154,0.915172664449202,1.059533327438027,1.0987406440003677,1.096658651079979,1.0980621771585901,0.9368834297851755,1884.1941752096595,16.80880062907628
155,1.0881350329465083,0.9116260745270126,0.9015953328366089,1.0992167089562754,0.9043561734830367,1.0198140877098616,1467.7050909445234,13.786589154933164
156,0.9738283187326089,0.9489888646606767,1.0916643556577112,1.0990551016828503,1.0954322111304142,1.0073761225575646,1713.3655971959224,15.395779915553637
157,1.0439518478186645,0.9158257032697078,0.9000314954649554,1.039157048249063,0.900273195987121,0.9319345205472471,1342.103688947916,12.649705137390093
158,1.057859274142122,0.9039699424337158,1.09548485600866,1.096138763167053,0.9243340058219992,0.9505651916826204,1555.0744558051335,14.726844211194598
159,1.0617823513963758,1.0910924550188401,0.9035751338510197,1.0921061514062365,1.0900939388519657,1.0097090418370192,1454.468840088106,12.979282464616874
160,1.089264550392901,0.9258416614373477,1.0967631873706607,1.099835333747621,0.9117035776656953,0.9426884763435106,1661.5984466811472,15.712033884307989
161,1.0613479684740805,1.0988265744834524,0.9018037155299718,1.0970312653024283,1.0798497980477617,0.9528144996931048,1661.4737293920712,15.307513070908453
162,1.001713318659082,1.0992669318162378,0.9508066442162088,1.0997039427092468,0.9296420320055822,1.0370132481254584,1537.960640020757,13.863624473744787
163,1.075405187471031,0.9021491141566897,1.0991228338299275,1.089497691350569,0.9070374880401925,1.0309450442179307,1700.0986055291235,15.496238208650258
164,1.0606934122896163,0.9090011210034363,1.0904635183063407,1.0991483062375627,0.9178819172110293,1.0895589102612133,1760.5440454181255,16.087438803582764
165,1.0849619246298428,0.9008013247111577,1.0759856768559541,1.092477398679055,0.900791882573489,1.0802694315401142,1612.8377167733474,14.803394356905256
166,0.9166115073842306,1.098683212705978,0.9049842843266304,1.098437048309044,0.9424265379366857,1.0935246550149698,1712.2455382816777,15.066788866317154
167,0.9097483832818472,0.9054780387462474,1.0948999643109238,1.0962957334542593,1.0608770500393598,1.085015639543405,1786.4858861530631,16.12517628599739
168,1.0220716369308176,0.9012855652795804,1.0954917294618607,1.0996184942607914,1.0317408065891298,1.079845509818358,1580.1449649016624,14.427578704735433
169,1.0508739427011164,1.0940741884913638,1.0972288625959448,1.059345758732776,0.9038947224988468,1.0139591148040115,1602.8530615075467,14.322894801595597
170,0.9535583945372094,1.094088705426815,0.9387304707339813,1.0986095067912824,0.9123237921903778,0.9836778067017512,1699.6535812489224,15.307669135359058
171,1.0919233407215507,0.9076280439642375,1.0857298465923584,1.0986204723914734,0.9101153721660441,0.9335291000386955,1554.5031375584276,15.053935850798492
172,1.0678928774684826,1.0949160165705316,0.9070925867342637,1.055745907340666,0.9011740631046612,0.9666200910274966,1673.4387031671417,15.50389536383971
173,1.0782249978906375,1.097989499809787,1.0991253733503534,1.0929490919239322,0.9069653262759196,0.9594317492138131,1709.4769098232118,15.605754819265622
174,1.044407057587915,1.0972935497609315,0.9015553852787156,1.0891428002948562,0.9198211564843154,0.9189949740143615,1508.7191166839423,13.890915009938295
175,0.9125630269524326,1.0993637705808297,0.9696779963043114,1.0988055827203975,1.0877926893426637,0.9419586804160197,1390.2650600278157,12.362627236566698
176,1.0390433962880916,1.0968831889091946,0.9015573011480139,1.035340251996299,1.0992081371333502,0.9000700835228971,1441.3492396211172,13.594636536490167
177,0.9967628504270588,0.960110154967936,1.0992330220574158,0.9982836055344523,0.9014457303067046,1.0491245631742248,1555.8805103199863,13.827555357078612
178,1.0065984853501821,0.9174438969186304,0.9040002648284888,0.9006316778042489,1.0998452137966983,1.0671440938205534,1339.3004524573284,12.45480506526764
179,0.9209083419184863,0.9024398709308835,1.0695395927696811,1.0999238801482327,1.0900810670755883,1.0752121649800157,1619.0546991687927,14.790873076531534
180,1.0040685291314468,0.9053774720448203,1.0927475796813626,1.0950971404809748,0.9030173464438156,0.9783667630825432,1811.1338699046973,17.015637842835652
181,1.0516946912087344,1.0992442756761773,1.0109031781689137,1.094592435811715,0.9059718743297926,0.966000889295814,1554.733831106857,13.712084837546042
182,1.0970930753763757,0.900578911557767,1.0977092855009603,1.0998231470990387,1.0665430667370195,1.0695021762474384,1623.8616203692113,15.21287504342902
183,0.9650580502358171,0.9109783315302364,1.0210256053804772,1.0978737514433279,0.9046235737201473,0.9608201468056513,1586.1452237641133,14.978248341602674
184,1.0937190243010315,1.0917344954531338,0.9980655133381104,1.0982432503819834,0.9111582679698241,1.0165005708412542,1601.7490051627296,14.696950342980305
185,0.9333845297358556,0.9030478040229994,0.9870385113902954,1.0989972150834588,0.9069838808233155,0.9669394624087622,1679.059284505312,15.961974449668038
186,1.0487885175283687,0.9026324606252862,1.0915611329985504,1.099990122466419,0.9305593552273498,1.0763500650527573,1364.0446721126339,12.173819669854593
187,0.93675888846611,1.0984638485072422,1.0968833865840433,1.0267586523465053,0.9244453350183506,0.9525135614297003,1475.5168587330302,12.730104528804716
188,0.9849467867127749,1.0988135243746346,1.0977052086339623,1.0320149212037644,0.9022049293375053,1.0677730013875024,1539.075720768963,13.717947734074544
189,0.9415488346915759,1.0985578002711462,0.9016611752287265,1.0066678313292212,0.9014159952492101,0.9413533304744922,1537.4018469325074,14.030790608510591
190,0.9392875664543604,1.099855054861552,0.902900353417709,1.0999792951096923,1.0620443332694132,0.9512262095327081,1948.3400798752618,17.445762298446542
191,1.0964876897678422,1.0982429651949475,1.0990288881035728,1.0994466176045388,1.0768669195748921,1.0439605849718203,1608.1941937453341,13.699716385611882
192,0.9197461203301058,1.0977506196782114,0.9030692741231597,1.0967344862205863,0.9287831016718625,1.028552321363058,1482.1976654893738,13.171286890352102
193,0.9549061844128027,1.0993849989187872,1.0403817143162581,1.0997981659600735,1.081480867222276,0.965511094115197,1557.5107121455144,14.17731982667016
194,1.0591213455347084,1.0982505521864154,0.9233796791434473,1.0999887237591075,1.0901140017950433,0.954899529018333,1616.505284542391,14.633340861103195
